ROOM_NUM,ROOM_NAME,FLOR_NUM,BULD_NAME,ROOM_TYP
128,B109,1,B,Type 2
129,B110,1,B,Type 1
130,B111,1,B,Type 2
131,B112,1,B,Type 1
132,B113,1,B,Type 1
133,B114,1,B,Type 3
134,B115,1,B,Type 3
135,B116,1,B,Type 1
136,B117,1,B,Type 5
137,B118,1,B,Type 2
138,B119,1,B,Type 1
139,B120,1,B,Type 1
140,B121,1,B,Type 1
141,B122,1,B,Type 2
142,B123,1,B,Type 1
143,B124,1,B,Type 2
144,B125,1,B,Type 2
145,B126,1,B,Type 1
146,B127,1,B,Type 1
147,B128,1,B,Type 4
148,B129,1,B,Type 1
149,B130,1,B,Type 2
150,B131,1,B,Type 1
151,B132,1,B,Type 2
152,B133,1,B,Type 1
153,B134,1,B,Type 2
154,B135,1,B,Type 1
155,B136,1,B,Type 2
156,B137,1,B,Type 2
157,B138,1,B,Type 3
158,B139,1,B,Type 3
159,B140,1,B,Type 4
160,B141,1,B,Type 1
161,B142,1,B,Type 3
162,B143,1,B,Type 3
163,B144,1,B,Type 3
164,B145,1,B,Type 2
165,B146,1,B,Type 1
166,B147,1,B,Type 3
167,B148,1,B,Type 1
168,B149,1,B,Type 2
169,B150,1,B,Type 4
170,B151,1,B,Type 5
171,B152,1,B,Type 3
172,B153,1,B,Type 2
173,B154,1,B,Type 1
174,B155,1,B,Type 3
175,B156,1,B,Type 2
176,B157,1,B,Type 1
177,B158,1,B,Type 4
178,B159,1,B,Type 1
179,B160,1,B,Type 3
180,B161,1,B,Type 2
181,B162,1,B,Type 1
182,B163,1,B,Type 2
183,B164,1,B,Type 1
184,B165,1,B,Type 3
185,B166,1,B,Type 1
186,B167,1,B,Type 2
187,B168,1,B,Type 3
188,B169,1,B,Type 3
189,B170,1,B,Type 1
190,B171,1,B,Type 2
191,B172,1,B,Type 2
192,B173,1,B,Type 1
193,B174,1,B,Type 1
194,B175,1,B,Type 1
195,B176,1,B,Type 1
196,B177,1,B,Type 1
197,B178,1,B,Type 1
198,B179,1,B,Type 1
199,B180,1,B,Type 3
200,B201,2,B,Type 4
201,B202,2,B,Type 1
202,B203,2,B,Type 1
203,B204,2,B,Type 1
204,B205,2,B,Type 2
205,B206,2,B,Type 2
206,B207,2,B,Type 2
207,B208,2,B,Type 1
208,B209,2,B,Type 1
209,B210,2,B,Type 4
210,B211,2,B,Type 3
211,B212,2,B,Type 4
212,B213,2,B,Type 5
213,B214,2,B,Type 1
214,B215,2,B,Type 1
215,B216,2,B,Type 1
216,B217,2,B,Type 3
217,B218,2,B,Type 2
218,B219,2,B,Type 3
219,B220,2,B,Type 3
220,B221,2,B,Type 2
221,B222,2,B,Type 3
222,B223,2,B,Type 4
223,B224,2,B,Type 3
224,B225,2,B,Type 1
225,B226,2,B,Type 1
226,B227,2,B,Type 1
227,B228,2,B,Type 3
228,B229,2,B,Type 2
229,B230,2,B,Type 3
230,B231,2,B,Type 1
231,B232,2,B,Type 2
232,B233,2,B,Type 2
233,B234,2,B,Type 3
234,B235,2,B,Type 3
235,B236,2,B,Type 3
236,B237,2,B,Type 1
237,B238,2,B,Type 1
238,B239,2,B,Type 2
239,B240,2,B,Type 1
240,B241,2,B,Type 1
241,B242,2,B,Type 2
242,B243,2,B,Type 1
243,B244,2,B,Type 5
244,B245,2,B,Type 3
245,B246,2,B,Type 3
246,B247,2,B,Type 2
247,B248,2,B,Type 1
248,B249,2,B,Type 1
249,B250,2,B,Type 2
250,B251,2,B,Type 3
251,B252,2,B,Type 4
252,B253,2,B,Type 1
253,B254,2,B,Type 1
254,B255,2,B,Type 2
255,B256,2,B,Type 5
256,B257,2,B,Type 3
257,B258,2,B,Type 2
258,B259,2,B,Type 2
259,B260,2,B,Type 1
260,B261,2,B,Type 2
261,B262,2,B,Type 1
262,B263,2,B,Type 2
263,B264,2,B,Type 2
264,B265,2,B,Type 2
265,B266,2,B,Type 2
266,B267,2,B,Type 3
267,B268,2,B,Type 2
268,B269,2,B,Type 1
269,B270,2,B,Type 2
270,B271,2,B,Type 1
271,B272,2,B,Type 1
272,B273,2,B,Type 1
273,B274,2,B,Type 1
274,B275,2,B,Type 3
275,B276,2,B,Type 2
276,B277,2,B,Type 3
277,B278,2,B,Type 3
278,B279,2,B,Type 1
279,B280,2,B,Type 1
280,B281,2,B,Type 3
281,B282,2,B,Type 2
282,B283,2,B,Type 2
283,B284,2,B,Type 3
284,B285,2,B,Type 3
285,B286,2,B,Type 2
286,B287,2,B,Type 2
287,B288,2,B,Type 2
288,B289,2,B,Type 2
289,B290,2,B,Type 4
290,B291,2,B,Type 1
291,B292,2,B,Type 3
292,B293,2,B,Type 2
293,B294,2,B,Type 1
294,B295,2,B,Type 2
295,B296,2,B,Type 3
296,B297,2,B,Type 2
297,B298,2,B,Type 1
298,B299,2,B,Type 1
299,B301,3,B,Type 3
300,B302,3,B,Type 3
301,B303,3,B,Type 3
302,B304,3,B,Type 2
303,B305,3,B,Type 2
304,B306,3,B,Type 3
305,B307,3,B,Type 1
306,B308,3,B,Type 1
307,B309,3,B,Type 4
308,B310,3,B,Type 2
309,B311,3,B,Type 2
310,B312,3,B,Type 3
311,B313,3,B,Type 1
312,B314,3,B,Type 2
313,B315,3,B,Type 1
314,B316,3,B,Type 1
315,B317,3,B,Type 3
316,B318,3,B,Type 2
317,B319,3,B,Type 2
318,B320,3,B,Type 1
319,B321,3,B,Type 5
320,B322,3,B,Type 1
321,B323,3,B,Type 2
322,B324,3,B,Type 2
323,B325,3,B,Type 1
324,B326,3,B,Type 1
325,B327,3,B,Type 4
326,B328,3,B,Type 2
327,B329,3,B,Type 3
328,B330,3,B,Type 1
329,B331,3,B,Type 1
330,B332,3,B,Type 1
331,B333,3,B,Type 3
332,B334,3,B,Type 2
333,B335,3,B,Type 2
334,B336,3,B,Type 2
335,B337,3,B,Type 2
336,B338,3,B,Type 1
337,B339,3,B,Type 2
338,B340,3,B,Type 1
339,B341,3,B,Type 2
340,B342,3,B,Type 2
341,B343,3,B,Type 2
342,B344,3,B,Type 2
343,B345,3,B,Type 1
344,B346,3,B,Type 3
345,B347,3,B,Type 2
346,B348,3,B,Type 1
347,B349,3,B,Type 2
348,B350,3,B,Type 1
349,B351,3,B,Type 1
350,B352,3,B,Type 2
351,B353,3,B,Type 3
352,B354,3,B,Type 2
353,B355,3,B,Type 2
354,B356,3,B,Type 2
355,B357,3,B,Type 2
356,B358,3,B,Type 2
357,B359,3,B,Type 1
358,B360,3,B,Type 1
359,B361,3,B,Type 1
360,B362,3,B,Type 1
361,B363,3,B,Type 5
362,B364,3,B,Type 2
363,B365,3,B,Type 2
364,B366,3,B,Type 1
365,B367,3,B,Type 2
366,B368,3,B,Type 5
367,B369,3,B,Type 2
368,B370,3,B,Type 1
369,B371,3,B,Type 2
370,B372,3,B,Type 2
371,B373,3,B,Type 3
372,B374,3,B,Type 2
373,B375,3,B,Type 3
374,B376,3,B,Type 2
375,B377,3,B,Type 1
376,B378,3,B,Type 1
377,B379,3,B,Type 2
378,B380,3,B,Type 1
379,B381,3,B,Type 2
380,B382,3,B,Type 2
381,B383,3,B,Type 1
382,B384,3,B,Type 1
383,B385,3,B,Type 1
384,B386,3,B,Type 1
385,B387,3,B,Type 2
386,B388,3,B,Type 3
387,B389,3,B,Type 3
388,B390,3,B,Type 1
389,B391,3,B,Type 2
390,B392,3,B,Type 1
391,B393,3,B,Type 2
392,B394,3,B,Type 3
393,B395,3,B,Type 1
394,B396,3,B,Type 1
395,B397,3,B,Type 4
396,B398,3,B,Type 1
397,C001,0,C,Type 2
398,C002,0,C,Type 1
399,C003,0,C,Type 2
400,C004,0,C,Type 1
401,C005,0,C,Type 2
402,C006,0,C,Type 1
403,C007,0,C,Type 2
404,C008,0,C,Type 3
405,C009,0,C,Type 2
406,C010,0,C,Type 1
407,C011,0,C,Type 1
408,C012,0,C,Type 3
409,C013,0,C,Type 1
410,C014,0,C,Type 3
411,C015,0,C,Type 1
412,C016,0,C,Type 4
413,C017,0,C,Type 2
414,C018,0,C,Type 2
415,C019,0,C,Type 1
416,C020,0,C,Type 2
417,C101,1,C,Type 2
418,C102,1,C,Type 2
419,C103,1,C,Type 3
420,C104,1,C,Type 2
421,C105,1,C,Type 2
422,C106,1,C,Type 2
423,C107,1,C,Type 2
424,C108,1,C,Type 4
425,C109,1,C,Type 2
426,C110,1,C,Type 2
427,C111,1,C,Type 3
428,C112,1,C,Type 1
429,C113,1,C,Type 1
430,C114,1,C,Type 1
431,C115,1,C,Type 2
432,C116,1,C,Type 1
433,C117,1,C,Type 1
434,C118,1,C,Type 1
435,C119,1,C,Type 3
436,C120,1,C,Type 4
437,C121,1,C,Type 2
438,C122,1,C,Type 3
439,C123,1,C,Type 3
440,C124,1,C,Type 1
441,C125,1,C,Type 1
442,C126,1,C,Type 3
443,C127,1,C,Type 1
444,C128,1,C,Type 3
445,C129,1,C,Type 2
446,C130,1,C,Type 1
447,C131,1,C,Type 3
448,C132,1,C,Type 2
449,C133,1,C,Type 3
450,C134,1,C,Type 1
451,C135,1,C,Type 2
452,C136,1,C,Type 1
453,C137,1,C,Type 3
454,C138,1,C,Type 3
455,C139,1,C,Type 2
456,C140,1,C,Type 2
457,C141,1,C,Type 2
458,C142,1,C,Type 1
459,C143,1,C,Type 1
460,C144,1,C,Type 2
461,C145,1,C,Type 1
462,C146,1,C,Type 2
463,C147,1,C,Type 3
464,C148,1,C,Type 3
465,C149,1,C,Type 1
466,C150,1,C,Type 2
467,C151,1,C,Type 2
468,C152,1,C,Type 1
469,C153,1,C,Type 1
470,C154,1,C,Type 1
471,C155,1,C,Type 1
472,C156,1,C,Type 1
473,C157,1,C,Type 2
474,C158,1,C,Type 1
475,C159,1,C,Type 2
476,C160,1,C,Type 1
477,C161,1,C,Type 1
478,C162,1,C,Type 3
479,C163,1,C,Type 2
480,C164,1,C,Type 2
481,C165,1,C,Type 1
482,C166,1,C,Type 4
483,C167,1,C,Type 2
484,C168,1,C,Type 1
485,C169,1,C,Type 3
486,C170,1,C,Type 2
487,C171,1,C,Type 3
488,C172,1,C,Type 2
489,C173,1,C,Type 1
490,C174,1,C,Type 1
491,C175,1,C,Type 1
492,C176,1,C,Type 2
493,C177,1,C,Type 5
494,C178,1,C,Type 1
495,C179,1,C,Type 2
496,C180,1,C,Type 1
497,C201,2,C,Type 1
498,C202,2,C,Type 3
499,C203,2,C,Type 3
500,C204,2,C,Type 1
501,C205,2,C,Type 2
502,C206,2,C,Type 2
503,C207,2,C,Type 3
504,C208,2,C,Type 1
505,C209,2,C,Type 1
506,C210,2,C,Type 1
507,C211,2,C,Type 5
508,C212,2,C,Type 2
509,C213,2,C,Type 4
510,C214,2,C,Type 1
511,C215,2,C,Type 2
512,C216,2,C,Type 2
513,C217,2,C,Type 2
514,C218,2,C,Type 3
515,C219,2,C,Type 1
516,C220,2,C,Type 1
517,C221,2,C,Type 3
518,C222,2,C,Type 5
519,C223,2,C,Type 1
520,C224,2,C,Type 2
521,C225,2,C,Type 2
522,C226,2,C,Type 1
523,C227,2,C,Type 1
524,C228,2,C,Type 3
525,C229,2,C,Type 2
526,C230,2,C,Type 2
527,C231,2,C,Type 3
528,C232,2,C,Type 1
529,C233,2,C,Type 4
530,C234,2,C,Type 5
531,C235,2,C,Type 2
532,C236,2,C,Type 1
533,C237,2,C,Type 1
534,C238,2,C,Type 1
535,C239,2,C,Type 3
536,C240,2,C,Type 2
537,C241,2,C,Type 2
538,C242,2,C,Type 2
539,C243,2,C,Type 3
540,C244,2,C,Type 3
541,C245,2,C,Type 4
542,C246,2,C,Type 2
543,C247,2,C,Type 1
544,C248,2,C,Type 2
545,C249,2,C,Type 2
546,C250,2,C,Type 3
547,C251,2,C,Type 2
548,C252,2,C,Type 1
549,C253,2,C,Type 2
550,C254,2,C,Type 1
551,C255,2,C,Type 2
552,C256,2,C,Type 1
553,C257,2,C,Type 2
554,C258,2,C,Type 2
555,C259,2,C,Type 4
556,C260,2,C,Type 3
557,C261,2,C,Type 2
558,C262,2,C,Type 1
559,C263,2,C,Type 2
560,C264,2,C,Type 2
561,C265,2,C,Type 1
562,C266,2,C,Type 1
563,C267,2,C,Type 1
564,C268,2,C,Type 1
565,C269,2,C,Type 1
566,C270,2,C,Type 3
567,C271,2,C,Type 4
568,C272,2,C,Type 3
569,C273,2,C,Type 3
570,C274,2,C,Type 2
571,C275,2,C,Type 1
572,C276,2,C,Type 2
573,C277,2,C,Type 1
574,C278,2,C,Type 1
575,C279,2,C,Type 1
576,C280,2,C,Type 2
577,C281,2,C,Type 1
578,C282,2,C,Type 1
579,C283,2,C,Type 2
580,C284,2,C,Type 2
581,C285,2,C,Type 1
582,C286,2,C,Type 3
583,C287,2,C,Type 1
584,C288,2,C,Type 1
585,C289,2,C,Type 2
586,C290,2,C,Type 2
587,C291,2,C,Type 5
588,C292,2,C,Type 2
589,C293,2,C,Type 3
590,C294,2,C,Type 1
591,C295,2,C,Type 1
592,C296,2,C,Type 2
593,C297,2,C,Type 4
594,C298,2,C,Type 2
595,C299,2,C,Type 2
596,C301,3,C,Type 1
597,C302,3,C,Type 1
598,C303,3,C,Type 4
599,C304,3,C,Type 2
600,C305,3,C,Type 4
601,C306,3,C,Type 3
602,C307,3,C,Type 1
603,C308,3,C,Type 2
604,C309,3,C,Type 2
605,C310,3,C,Type 3
606,C311,3,C,Type 2
607,C312,3,C,Type 2
608,C313,3,C,Type 2
609,C314,3,C,Type 2
610,C315,3,C,Type 3
611,C316,3,C,Type 2
612,C317,3,C,Type 1
613,C318,3,C,Type 2
614,C319,3,C,Type 2
615,C320,3,C,Type 1
616,C321,3,C,Type 2
617,C322,3,C,Type 2
618,C323,3,C,Type 3
619,C324,3,C,Type 1
620,C325,3,C,Type 3
621,C326,3,C,Type 4
622,C327,3,C,Type 3
623,C328,3,C,Type 2
624,C329,3,C,Type 3
625,C330,3,C,Type 2
626,C331,3,C,Type 4
627,C332,3,C,Type 3
628,C333,3,C,Type 1
629,C334,3,C,Type 1
630,C335,3,C,Type 1
631,C336,3,C,Type 5
632,C337,3,C,Type 2
633,C338,3,C,Type 1
634,C339,3,C,Type 1
635,C340,3,C,Type 2
636,C341,3,C,Type 1
637,C342,3,C,Type 3
638,C343,3,C,Type 2
639,C344,3,C,Type 1
640,C345,3,C,Type 3
641,C346,3,C,Type 3
642,C347,3,C,Type 1
643,C348,3,C,Type 1
644,C349,3,C,Type 2
645,C350,3,C,Type 1
646,C351,3,C,Type 2
647,C352,3,C,Type 2
648,C353,3,C,Type 1
649,C354,3,C,Type 3
650,C355,3,C,Type 2
651,C356,3,C,Type 3
652,C357,3,C,Type 2
653,C358,3,C,Type 1
654,C359,3,C,Type 2
655,C360,3,C,Type 1
656,C361,3,C,Type 1
657,C362,3,C,Type 2
658,C363,3,C,Type 2
659,C364,3,C,Type 1
660,C365,3,C,Type 2
661,C366,3,C,Type 1
662,C367,3,C,Type 1
663,C368,3,C,Type 1
664,C369,3,C,Type 1
665,C370,3,C,Type 1
666,C371,3,C,Type 2
667,C372,3,C,Type 4
668,C373,3,C,Type 1
669,C374,3,C,Type 5
670,C375,3,C,Type 1
671,C376,3,C,Type 3
672,C377,3,C,Type 1
673,C378,3,C,Type 2
674,C379,3,C,Type 2
675,C380,3,C,Type 1
676,C381,3,C,Type 5
677,C382,3,C,Type 1
678,C383,3,C,Type 3
679,C384,3,C,Type 2
680,C385,3,C,Type 3
681,C386,3,C,Type 2
682,C387,3,C,Type 1
683,C388,3,C,Type 3
684,C389,3,C,Type 2
685,C390,3,C,Type 4
686,C391,3,C,Type 1
687,C392,3,C,Type 2
688,C393,3,C,Type 2
689,C394,3,C,Type 5
690,C395,3,C,Type 1
691,C396,3,C,Type 3
692,C397,3,C,Type 1
693,C398,3,C,Type 3
694,C399,3,C,Type 2
695,C401,4,C,Type 2
696,C402,4,C,Type 1
697,C403,4,C,Type 2
698,C404,4,C,Type 1
699,C405,4,C,Type 1
700,C406,4,C,Type 2
701,C407,4,C,Type 4
702,C408,4,C,Type 2
703,C409,4,C,Type 4
704,C410,4,C,Type 3
705,C411,4,C,Type 2
706,C412,4,C,Type 2
707,C413,4,C,Type 1
708,C414,4,C,Type 1
709,C415,4,C,Type 2
710,C416,4,C,Type 1
711,C417,4,C,Type 1
712,C418,4,C,Type 1
713,C419,4,C,Type 2
714,C420,4,C,Type 2
715,C421,4,C,Type 1
716,C422,4,C,Type 1
717,C423,4,C,Type 2
718,C424,4,C,Type 2
719,C425,4,C,Type 2
720,C426,4,C,Type 3
721,C427,4,C,Type 2
722,C428,4,C,Type 3
723,C429,4,C,Type 3
724,C430,4,C,Type 2
725,C431,4,C,Type 2
726,C432,4,C,Type 2
727,C433,4,C,Type 2
728,C434,4,C,Type 1
729,C435,4,C,Type 1
730,C436,4,C,Type 2
731,C437,4,C,Type 2
732,C438,4,C,Type 3
733,C439,4,C,Type 2
734,C440,4,C,Type 2
735,C441,4,C,Type 1
736,C442,4,C,Type 1
737,C443,4,C,Type 1
738,C444,4,C,Type 3
739,C445,4,C,Type 1
740,C446,4,C,Type 2
741,C447,4,C,Type 2
742,C448,4,C,Type 1
743,C449,4,C,Type 1
744,C450,4,C,Type 2
745,C451,4,C,Type 1
746,C452,4,C,Type 2
747,C453,4,C,Type 2
748,C454,4,C,Type 1
749,C455,4,C,Type 1
750,C456,4,C,Type 2
751,C457,4,C,Type 4
752,C458,4,C,Type 1
753,C459,4,C,Type 1
754,C460,4,C,Type 1
755,C461,4,C,Type 3
756,C462,4,C,Type 1
757,C463,4,C,Type 1
758,C464,4,C,Type 4
759,C465,4,C,Type 1
760,C466,4,C,Type 3
761,C467,4,C,Type 1
762,C468,4,C,Type 1
763,C469,4,C,Type 1
764,C470,4,C,Type 2
765,C471,4,C,Type 2
766,C472,4,C,Type 2
767,C473,4,C,Type 1
768,C474,4,C,Type 1
769,C475,4,C,Type 2
770,C476,4,C,Type 3
771,C477,4,C,Type 1
772,C478,4,C,Type 2
773,C479,4,C,Type 2
774,C480,4,C,Type 2
775,C481,4,C,Type 1
776,C482,4,C,Type 3
777,C483,4,C,Type 1
778,C484,4,C,Type 2
779,C485,4,C,Type 2
780,C486,4,C,Type 4
781,C487,4,C,Type 2
782,C488,4,C,Type 1
783,C489,4,C,Type 2
784,C490,4,C,Type 3
785,C491,4,C,Type 1
786,C492,4,C,Type 1
